Product Name,Warranty Period,Application
1. Azura Advance Exterior Emulsion - ,15 years performance warranty ,"
The paint has been used on exterior masonry wall surfaces only.
All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
2. Azura Antidirt Exterior Emulsion - ,10 years performance warranty ,"The paint has been used on exterior masonry wall surfaces only.
All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. "
3. Azura Antidirt Exterior Emulsion - ,7 years performance warranty ,"The paint has been used on exterior masonry wall surfaces only.
All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. "
4. Asure Radiance Exterior Emulsion - ,5 years performance warranty ,"The paint has been used on exterior masonry wall surfaces only.
All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. "
5. Anex Super Acrylic Exterior Emulsion - ,3 years performance warranty ,"
The paint has been used on exterior masonry wall surfaces only.
All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. "
6. Azura Pearl Glow Interior Emulsion - ,7 years performance warranty ,"
The paint has been used on interior masonry, plaster, or gypsum-board wall surfaces only.
Surface preparation steps have been fully carried out as per the Product Data Sheet, including:
Removal of dust, grease, oil, loose particles or previous failing coatings
Repair of cracks or holes with appropriate filler or putty and full cure before painting	Light sanding of glossy or hard-to-stick surfaces to ensure adhesion
Application of the recommended interior primer (if specified) at the prescribed spread rate
The Customer has applied the complete paint system recommended by the manufacturer (primer + topcoat) in the correct sequence, dilution, recoating intervals and ambient conditions (e.g., temperature between 10–40 °C, relative humidity < 85%)."
7. Asure 5 in 1 Cleanwallz Interior Emulsion - ,5 years performance warranty ,"
The paint has been used on interior masonry, plaster, or gypsum-board wall surfaces only.
Surface preparation steps have been fully carried out as per the Product Data Sheet, including:
Removal of dust, grease, oil, loose particles or previous failing coatings
Repair of cracks or holes with appropriate filler or putty and full cure before painting	Light sanding of glossy or hard-to-stick surfaces to ensure adhesion
Application of the recommended interior primer (if specified) at the prescribed spread rate
The Customer has applied the complete paint system recommended by the manufacturer (primer + topcoat) in the correct sequence, dilution, recoating intervals and ambient conditions (e.g., temperature between 10–40 °C, relative humidity < 85%)."
8. Anex Super Acrylic Interior Emulsion - ,3 years performance warranty,"
The paint has been used on interior masonry, plaster, or gypsum-board wall surfaces only.
Surface preparation steps have been fully carried out as per the Product Data Sheet, including:
Removal of dust, grease, oil, loose particles or previous failing coatings
Repair of cracks or holes with appropriate filler or putty and full cure before painting	Light sanding of glossy or hard-to-stick surfaces to ensure adhesion
Application of the recommended interior primer (if specified) at the prescribed spread rate
The Customer has applied the complete paint system recommended by the manufacturer (primer + topcoat) in the correct sequence, dilution, recoating intervals and ambient conditions (e.g., temperature between 10–40 °C, relative humidity < 85%).
"
 9. Arest Waterproofing Range - ,10 years performance warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
10. Arest Damp Block 2K,7 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
11. Azura 5 in 1 Luxury Enamel Hi Gloss,5 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
12. Arest 5 in 1 Universal Crack Filler ,5 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
13. Arest Universal Damp Block 2K,7 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
14. Arest 5 in 1 Universal Flexible Waterproofing Base Coat,10 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
15.Azura Damp Arrestor Alkali Bloc 2 in 1 Dual Primer,5 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"
16.Arest 5 in 1 Waterproof RoofCoat:Waterproofing and Heat Reflector,5 years performance Warranty,"
1)The paint has been used on exterior masonry wall surfaces only.
2)All elements of surface preparation prior to the application and application work have been done in accordance with the instructions provided for the paint with regard to surface preparation and application as in the Technical Data Sheet.
3)The Customer has used the entire paint system recommended by the manufacturer as per the Product Data Sheet. 
"